Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Women in Love,Romance,Brandywine Productions,UK,English,1969,"
					
					131 mins",3.73,"6,896 ratings",88 fans,"10,555 members","11,802 lists","2,858 members"
The Lover,Drama,Timothy Burrill Productions,France,Chinese,1992,"
					
					115 mins",3.21,"15,283 ratings",224 fans,"25,031 members","6,563 lists","4,669 members"
The Conference,Thriller,SF Studios,Sweden,Swedish,2023,"
					
					100 mins",2.73,"23,726 ratings",7 fans,"27,491 members","5,614 lists","3,813 members"
The Silent Partner,Drama,Tiberius Entertainment,Canada,English,1978,"
					
					102 mins",3.76,"13,111 ratings",33 fans,"17,570 members","8,949 lists","5,617 members"
The Unbelievable Truth,Drama,Action Features,USA,English,1989,"
					
					90 mins",3.79,"10,566 ratings",124 fans,"15,728 members","8,421 lists","5,142 members"
Kickboxer,Thriller,Kings Road Entertainment,USA,English,1989,"
					
					97 mins",3.17,"25,587 ratings",78 fans,"43,893 members","7,454 lists","7,618 members"
Let It Shine,Family,GWave Productions,USA,English,2012,"
					
					101 mins",3.31,"23,962 ratings",180 fans,"56,319 members","6,670 lists","9,529 members"
Seabiscuit,History,Universal Pictures,USA,English,2003,"
					
					141 mins",3.3,"24,080 ratings",62 fans,"50,374 members","10,691 lists","5,139 members"
Final Fantasy VII: Advent Children,Animation,Square Enix,Japan,Japanese,2005,"
					
					101 mins",3.2,"25,490 ratings",312 fans,"44,888 members","5,431 lists","8,688 members"
The Human Centipede 3 (Final Sequence),Horror,Six Entertainment,Netherlands,English,2015,"
					
					103 mins",1.41,"25,881 ratings",85 fans,"39,750 members","7,687 lists","2,090 members"
Mars Needs Moms,Animation,Walt Disney Pictures,USA,English,2011,"
					
					88 mins",2.09,"28,625 ratings",39 fans,"61,166 members","7,021 lists","3,688 members"
Fear City: A Family-Style Comedy,Comedy,TF1 Studio,France,French,1994,"
					
					93 mins",3.84,"20,949 ratings",595 fans,"31,613 members","4,625 lists","9,679 members"
Searching for Bobby Fischer,Drama,Mirage Enterprises,USA,English,1993,"
					
					110 mins",3.54,"20,886 ratings",103 fans,"34,954 members","6,665 lists","6,191 members"
Once Were Warriors,Drama,Avalon Studios,New Zealand,English,1994,"
					
					99 mins",3.92,"13,699 ratings",205 fans,"20,594 members","7,834 lists","5,037 members"
